,Algorithm,Model,Dataset,AUC Score,Weighted F1 Score,K Kold,Repeatition,Scenario,CV Method
88,DT,Full Data Optimized,Test,0.894355,0.824061,4,4,SMOTE on ALL,K4R4
89,LR,Trimmed Data Optimized,Training,0.75223,0.722792,4,4,SMOTE on ALL,K4R4
90,LR,Trimmed Data Optimized,Test,0.69607,0.722458,4,4,SMOTE on ALL,K4R4
91,RFC,Trimmed Data Optimized,Training,0.993909,0.911734,4,4,SMOTE on ALL,K4R4
92,RFC,Trimmed Data Optimized,Test,0.773375,0.800055,4,4,SMOTE on ALL,K4R4
93,SVC,Trimmed Data Optimized,Training,0.998907,0.995813,4,4,SMOTE on ALL,K4R4
94,SVC,Trimmed Data Optimized,Test,0.622397,0.751245,4,4,SMOTE on ALL,K4R4
95,DT,Trimmed Data Optimized,Training,0.972042,0.866562,4,4,SMOTE on ALL,K4R4
96,DT,Trimmed Data Optimized,Test,0.723279,0.702702,4,4,SMOTE on ALL,K4R4
97,LR,Full Data Optimized,Training,0.831903,0.647613,5,2,SMOTE on ALL,K5R2
98,LR,Full Data Optimized,Test,0.839325,0.665887,5,2,SMOTE on ALL,K5R2
99,RFC,Full Data Optimized,Training,0.99988,0.987946,5,2,SMOTE on ALL,K5R2
100,RFC,Full Data Optimized,Test,0.978762,0.904843,5,2,SMOTE on ALL,K5R2
101,SVC,Full Data Optimized,Training,0.999588,0.992832,5,2,SMOTE on ALL,K5R2
102,SVC,Full Data Optimized,Test,0.980044,0.912236,5,2,SMOTE on ALL,K5R2
103,DT,Full Data Optimized,Training,0.996467,0.949951,5,2,SMOTE on ALL,K5R2
104,DT,Full Data Optimized,Test,0.894355,0.824061,5,2,SMOTE on ALL,K5R2
105,LR,Trimmed Data Optimized,Training,0.750677,0.7183,5,2,SMOTE on ALL,K5R2
106,LR,Trimmed Data Optimized,Test,0.69483,0.71531,5,2,SMOTE on ALL,K5R2
107,RFC,Trimmed Data Optimized,Training,0.997056,0.90143,5,2,SMOTE on ALL,K5R2
108,RFC,Trimmed Data Optimized,Test,0.763096,0.800163,5,2,SMOTE on ALL,K5R2
109,SVC,Trimmed Data Optimized,Training,0.997594,0.995813,5,2,SMOTE on ALL,K5R2
110,SVC,Trimmed Data Optimized,Test,0.620926,0.751245,5,2,SMOTE on ALL,K5R2
111,DT,Trimmed Data Optimized,Training,0.983401,0.914411,5,2,SMOTE on ALL,K5R2
112,DT,Trimmed Data Optimized,Test,0.704899,0.750571,5,2,SMOTE on ALL,K5R2
113,LR,Full Data Optimized,Training,0.830737,0.648726,5,3,SMOTE on ALL,K5R3
114,LR,Full Data Optimized,Test,0.838408,0.662361,5,3,SMOTE on ALL,K5R3
115,RFC,Full Data Optimized,Training,0.99988,0.987946,5,3,SMOTE on ALL,K5R3
116,RFC,Full Data Optimized,Test,0.978762,0.904843,5,3,SMOTE on ALL,K5R3
117,SVC,Full Data Optimized,Training,0.999588,0.992832,5,3,SMOTE on ALL,K5R3
118,SVC,Full Data Optimized,Test,0.980044,0.912236,5,3,SMOTE on ALL,K5R3
119,DT,Full Data Optimized,Training,0.996467,0.949951,5,3,SMOTE on ALL,K5R3
120,DT,Full Data Optimized,Test,0.894355,0.824061,5,3,SMOTE on ALL,K5R3
121,LR,Trimmed Data Optimized,Training,0.742204,0.716434,5,3,SMOTE on ALL,K5R3
122,LR,Trimmed Data Optimized,Test,0.695975,0.711638,5,3,SMOTE on ALL,K5R3
123,RFC,Trimmed Data Optimized,Training,0.993909,0.911734,5,3,SMOTE on ALL,K5R3
124,RFC,Trimmed Data Optimized,Test,0.773375,0.800055,5,3,SMOTE on ALL,K5R3
125,SVC,Trimmed Data Optimized,Training,0.998907,0.995813,5,3,SMOTE on ALL,K5R3
126,SVC,Trimmed Data Optimized,Test,0.622397,0.751245,5,3,SMOTE on ALL,K5R3
127,DT,Trimmed Data Optimized,Training,0.972042,0.866562,5,3,SMOTE on ALL,K5R3
128,DT,Trimmed Data Optimized,Test,0.723279,0.702702,5,3,SMOTE on ALL,K5R3
129,LR,Full Data Optimized,Training,0.830737,0.648726,5,4,SMOTE on ALL,K5R4
130,LR,Full Data Optimized,Test,0.838408,0.662361,5,4,SMOTE on ALL,K5R4
131,RFC,Full Data Optimized,Training,0.99988,0.987946,5,4,SMOTE on ALL,K5R4
132,RFC,Full Data Optimized,Test,0.978762,0.904843,5,4,SMOTE on ALL,K5R4
133,SVC,Full Data Optimized,Training,0.999588,0.992832,5,4,SMOTE on ALL,K5R4
134,SVC,Full Data Optimized,Test,0.980044,0.912236,5,4,SMOTE on ALL,K5R4
135,DT,Full Data Optimized,Training,0.996467,0.949951,5,4,SMOTE on ALL,K5R4
136,DT,Full Data Optimized,Test,0.894355,0.824061,5,4,SMOTE on ALL,K5R4
137,LR,Trimmed Data Optimized,Training,0.742204,0.716434,5,4,SMOTE on ALL,K5R4
138,LR,Trimmed Data Optimized,Test,0.695975,0.711638,5,4,SMOTE on ALL,K5R4
139,RFC,Trimmed Data Optimized,Training,0.993909,0.911734,5,4,SMOTE on ALL,K5R4
140,RFC,Trimmed Data Optimized,Test,0.773375,0.800055,5,4,SMOTE on ALL,K5R4
141,SVC,Trimmed Data Optimized,Training,0.998907,0.995813,5,4,SMOTE on ALL,K5R4
142,SVC,Trimmed Data Optimized,Test,0.622397,0.751245,5,4,SMOTE on ALL,K5R4
143,DT,Trimmed Data Optimized,Training,0.95776,0.837494,5,4,SMOTE on ALL,K5R4
144,DT,Trimmed Data Optimized,Test,0.664929,0.665141,5,4,SMOTE on ALL,K5R4
145,LR,Full Data Optimized,Training,0.74621,0.736656,3,2,No SMOTE,K3R2
146,LR,Full Data Optimized,Test,0.689368,0.682535,3,2,No SMOTE,K3R2
147,RFC,Full Data Optimized,Training,0.997843,0.971831,3,2,No SMOTE,K3R2
148,RFC,Full Data Optimized,Test,0.811942,0.7666,3,2,No SMOTE,K3R2
149,SVC,Full Data Optimized,Training,0.999279,0.997954,3,2,No SMOTE,K3R2
150,SVC,Full Data Optimized,Test,0.71351,0.738982,3,2,No SMOTE,K3R2
151,DT,Full Data Optimized,Training,0.992971,0.929691,3,2,No SMOTE,K3R2
152,DT,Full Data Optimized,Test,0.691611,0.691399,3,2,No SMOTE,K3R2
153,LR,Trimmed Data Optimized,Training,0.750666,0.7183,3,2,No SMOTE,K3R2
154,LR,Trimmed Data Optimized,Test,0.69483,0.71531,3,2,No SMOTE,K3R2
155,RFC,Trimmed Data Optimized,Training,0.9972,0.941866,3,2,No SMOTE,K3R2
156,RFC,Trimmed Data Optimized,Test,0.772433,0.796841,3,2,No SMOTE,K3R2
157,SVC,Trimmed Data Optimized,Training,0.998753,0.990633,3,2,No SMOTE,K3R2
