,Age at inspection,"PACP_Heigh, IN",Length,Hydro  group encoded,flood design score,"Precipitation, mon avg, in.",Depth,Risk
194,58.13472507,24,58.14428494,1,2,3.753,7.5,21.7952
195,53.78690395,24,347.3008334,1,0,3.74,5,12.3504
196,16.20168834,36,58.77026587,1,8,3.689,8,8.9936
197,14.15925165,36,67.15861109,1,2,3.704,13,26.0336
198,27.44889345,30,21.88644908,3,0,3.749,0,1.056
199,26.39208305,30,21.88644908,3,0,3.749,0,12.784
200,20.69997718,18,161.9918832,3,2,3.749,2.7,0
201,12.49463838,15,38.1390218,3,2,3.744,4,4.5632
202,18.27424139,15,47.1291025,2,2,3.859,4.5,10.8896
203,27.44889345,18,34.86858234,3,2,3.747,2,2.884
204,4.075861282,30,145.1794046,2,2,3.739,6.25,10.088
205,15.62673968,15,135.4940831,1,0,3.736,3.5,7.056
206,15.62673968,15,50.75351153,1,0,3.736,5,3.2928
207,58.34816336,36,41.50349953,1,2,3.757,3.2,9.0944
208,15.62673968,15,24.70979547,1,0,3.736,4,3.2928
209,45.06684919,36,28.4014197,2,2,3.72,6.9,18.368
210,19.12023728,15,37.9930199,1,2,3.903,3.5,8.424
211,41.98129135,15,20.70331383,1,2,3.734,8,6.3296
212,15.73077801,30,21.85565052,1,2,3.901,8.3,7.0656
213,16.13335615,15,43.76630107,1,2,3.906,1.75,16.3664
214,32.87805156,15,83.36439292,1,8,3.906,1.75,14.6544
216,56.51380333,30,276.6661886,4,2,3.729,8,16.9952
217,46.10723249,15,243.8383892,1,2,3.791,5,14.0768
218,22.36732831,36,116.05225,1,2,3.748,6.5,10.088
219,14.76979238,48,96.11589656,1,3,3.793,5,6.396
221,12.68628793,30,135.6795089,1,2,3.787,5.5,23.6
222,42.28256902,18,25.74391073,4,2,3.761,7.6,29.264
223,2.17841661,24,16.85957633,1,2,3.787,3.2,4.5632
224,2.17841661,24,94.27601252,1,2,3.787,4.3,4.5632
225,2.90942277,30,120.8521813,2,0,3.807,5,2.8896
227,37.74309833,15,228.0789381,4,2,3.719,3,10.3976
228,19.88409765,54,64.57307427,2,0,3.816,9.5,27.72
229,19.88409765,54,69.07315051,2,0,3.816,9.5,27.72
230,38.6684919,30,115.2212876,4,0,3.717,3.4,12.768
231,38.6684919,18,20.18000137,4,0,3.717,3.5,15.1164
232,19.39413644,15,115.3607615,3,2,3.701,2.5,13.794
233,35.92790326,15,130.6909596,1,2,3.76,3.5,4.3952
234,17.36801278,36,34.58698681,2,2,3.706,2.9,17.264
235,18.4850559,48,114.9407296,2,2,3.714,10,3.264
236,17.66370066,15,36.48487617,2,2,3.739,3.5,3.3728
237,17.66370066,15,78.35577658,2,2,3.739,3.5,5.3312
238,17.66370066,15,291.0607931,2,2,3.739,4,6.0656
239,17.66370066,18,274.7119407,2,2,3.74,6.5,4.5968
240,17.65822496,18,98.4565738,3,0,3.739,4,18.1844
241,17.65822496,18,114.1731228,3,0,3.739,4.2,12.5736
242,17.65822496,18,303.9292803,3,0,3.739,4.5,14.5824
243,17.65822496,15,30.91807281,3,0,3.739,5,5.976
244,20.9107917,48,24.1648161,2,0,3.72,7.1,3.192
245,8.828770249,15,14.98396963,1,2,3.816,2,3.128
247,38.60837326,24,194.1391357,4,2,3.689,5,33.276
248,41.22564454,18,128.8591323,4,2,3.696,3,2.9648
249,38.03331052,15,135.8207767,4,2,3.691,4,18.044
250,24.3933379,24,126.4765558,4,0,3.695,6.7,3.3432
251,47.82386493,15,46.19641405,2,2,3.764,2.2,4.3054
252,12.0538444,15,72.37093777,1,2,3.704,3.5,30.6
256,9.269450148,15,44.04904652,1,2,3.786,8.5,22.776
257,29.94022359,15,35.13829167,1,2,3.775,3.25,20.9902
259,7.914214009,15,40.89971262,4,2,3.779,8.7,30.456
260,7.914214009,15,54.45613631,4,2,3.786,9,38.232
262,33.088752,24,78.48756647,4,2,3.792,3.3,4.5632
263,33.088752,18,23.61405746,4,2,3.792,2,6.0168
264,33.6939311,36,142.5015109,4,2,3.792,7,18.044
265,21.29409081,24,128.5533854,1,2,3.718,6,19.292
266,21.09696555,12,84.68158063,2,8,3.756,2.5,8.2928
267,16.50558978,36,160.6124483,2,2,3.749,4.5,18.044
268,39.26260552,18,129.4527466,1,2,3.79,4,9.776
269,41.32420716,15,114.4033663,1,0,3.79,3,9.9712
270,17.21195528,24,86.81917926,1,3,3.823,5,28.5376
271,24.87793749,15,11.27714261,1,3,3.823,5,7.4896
272,39.16678074,18,90.88572679,1,2,3.795,3.5,14.0768
273,39.16678074,15,48.46242889,1,2,3.795,4,16.6208
274,39.16678074,24,25.75529871,1,2,3.795,4,5.8712
275,9.157198266,18,25.2376549,4,2,3.722,6.5,6.7712
276,9.157198266,15,16.50868445,4,2,3.722,6.5,15.8672
277,2.821811545,24,170.4712815,1,2,3.795,3,6.968
278,46.5618298,15,130.340895,1,2,3.798,20,16.3184
279,8.606890258,72,96.25599122,4,3,3.752,11.7,6.6096
280,63.82934063,18,8.904522636,4,2,3.752,3.5,3.128
281,63.82934063,15,29.1755952,4,2,3.752,3,28.4548
282,20.81496692,24,63.76508935,1,2,3.757,9.69,8.1696
283,20.81496692,24,71.19441879,1,2,3.757,0,19.0688
284,20.81496692,24,60.70889309,1,2,3.757,8.1,16.6944
285,20.81496692,24,25.80291927,1,2,3.757,7.6,6.1088
286,20.81496692,24,136.0832935,1,2,3.757,6,4.784
287,30.28793064,30,198.1228399,4,2,3.765,6,15.848
288,66.34268766,12,109.5653888,4,0,3.755,1.6,2.002
289,9.614419347,15,47.61340449,4,2,3.761,3.5,13.2886
290,25.61441935,15,51.56234041,4,2,3.746,10,18.4992
291,63.82934063,18,289.9939257,4,2,3.752,5,18.0056
292,16.96007301,24,46.08212948,2,2,3.663,3,4.1528
293,18.64944102,24,194.8977966,3,2,3.671,6,6.968
294,11.42413872,60,114.4870692,2,2,3.672,20,16.856
295,36.28656172,18,73.45460826,1,2,3.79,9,4.14
296,8.609628109,48,110.5084299,4,2,3.842,4.5,6.2192
297,8.604152407,24,46.74350927,2,2,3.732,4.5,5.5568
298,8.604152407,15,15.78497891,2,2,3.732,3.5,2.6384
299,7.845881816,36,85.75739915,2,2,3.798,8,14.8256
300,36.82318047,15,188.4262042,1,2,3.787,4,3.036
301,15.47068218,15,109.9452698,3,2,3.664,0,9.1568
302,6.408396076,15,25.30800884,4,2,3.803,10,8.5284
303,36.28108601,15,153.554497,1,2,3.787,3.5,3.036
304,31.39128451,48,167.4843496,2,2,3.742,5,6.992
305,19.06821812,54,99.57207082,2,0,3.719,13.7,11.0656
306,19.06821812,54,100.9947041,2,0,3.719,13.7,11.0656
307,37.54597308,18,99.76383056,4,2,3.723,5,1.904
311,20.73009354,42,172.4885331,2,2,3.806,13,14.768
312,9.398129135,18,42.9390898,1,2,3.714,8,16.6208
313,8.412502852,18,45.3109101,1,2,3.714,9,4.416
314,9.398129135,18,45.3109101,1,2,3.714,9,17.6528
315,1.529545973,42,18.53620055,2,2,3.789,7.5,6.7712
316,18.52338581,36,68.17257136,2,2,3.75,17.5,11.2832
317,18.34816336,18,24.40886681,2,2,3.751,1.5,2.574
318,16.75484828,36,98.38979599,2,2,3.751,6,10.4864
319,16.75484828,36,56.28721263,2,2,3.751,6.3,6.1472
320,12.07586128,24,57.76934875,2,2,3.755,7.5,5.6816
321,18.66027835,24,340.4180604,2,2,3.665,8.7,16.536
322,35.52270135,30,102.5826998,4,2,3.734,0,10.088
323,19.77184577,15,22.60022835,2,8,3.814,7.3,10.7136
324,35.65959389,18,165.5577707,4,2,3.737,4,12.8576
328,18.24971481,15,102.1456658,3,2,3.793,2,7.1242
329,41.11886836,18,30.31223722,4,2,3.741,1.5,22.902
330,1.488478211,15,192.6139918,4,2,3.762,6.9,15.8576
331,23.94433037,15,60.02433248,3,2,3.715,3,14.0866
332,23.94433037,18,73.47587717,3,2,3.715,3,15.5496
333,23.94433037,18,62.35680827,3,2,3.715,3,13.5432
334,31.38866073,15,134.6948204,2,0,3.765,3,6.3616
335,46.14282455,36,95.98331219,2,0,3.72,6.3,15.456
336,19.53924253,15,29.51849898,1,2,3.679,4,1.904
337,19.76637007,15,26.80614304,2,2,3.666,7,29.0816
338,17.00387862,36,33.09903173,1,2,3.686,4.7,10.1568
339,41.75131189,15,24.64270491,2,8,3.72,3.4,7.2416
341,20.77937486,15,125.0173676,2,3,3.718,3,10.3472
342,54.68777093,15,90.73323265,1,3,3.718,5,7.4896
343,45.59536847,15,41.71575427,1,3,3.718,5,4.0176
344,45.59536847,15,32.4770531,1,3,3.718,2.8,4.0176
345,1.953912845,54,27.04083908,2,2,3.806,15,7.9808
346,17.47216518,18,107.2091902,1,2,3.751,6,19.1984
347,37.69107917,42,61.21126428,4,3,3.759,7.09,25.2
348,37.69107917,42,72.02009718,4,8,3.759,6.2,32.48
349,17.38170203,60,56.77587089,1,0,3.751,14,7.0532
350,16.66986083,15,99.4372472,1,2,3.751,8.65,5.7072
351,16.66986083,18,25.25941616,1,0,3.751,10.95,4.536
352,16.66986083,18,98.14603089,1,0,3.749,9.95,19.2066
355,17.21195528,24,24.62954615,1,3,3.823,5,34.3
356,24.87793749,15,77.16853027,4,3,3.823,7,20.254
357,24.87793749,15,49.54091768,4,3,3.823,7,26.8912
358,24.87793749,15,97.7073611,1,3,3.823,6,7.4896
360,38.21674652,66,234.7967507,4,2,3.769,25.5,33.512
362,46.66039243,15,217.3350862,1,2,3.769,4,6.968
363,19.61305042,30,34.08895262,1,2,3.75,5.5,11.0192
364,18.53433721,60,84.513083,1,0,3.75,15,7.0532
365,47.16130504,15,30.06722431,1,2,3.768,7.5,7.2944
366,16.90269222,15,22.27240594,1,2,3.769,1.5,6.3118
367,42.24138718,30,124.3935079,1,2,3.759,6,15.704
368,15.77184577,18,40.09339035,1,2,3.762,2.5,2.88
369,31.41592517,36,143.9236256,2,2,3.789,5.5,18.044
370,15.09297285,24,31.58184228,1,2,3.791,4.5,20.384
371,15.09297285,24,12.17357417,1,2,3.791,5,16.6208
372,14.21948437,48,23.77833621,2,8,3.788,6.8,11.7968
373,45.61727128,24,107.1976383,1,2,3.793,4.5,20.384
374,45.12719598,15,310.4199014,1,2,3.776,2,14.8356
375,42.30983345,15,59.39016114,1,2,3.779,5.5,6.2192
376,13.14350901,30,68.96192243,1,2,3.77,9.5,11.0544
377,9.6226329,15,26.06763846,1,0,3.765,2,5.004
378,9.6226329,15,16.6830769,1,0,3.765,2,2.7888
379,9.6226329,24,13.82685542,1,0,3.765,2.7,0.672
380,9.6226329,24,25.33022678,1,2,3.765,2.5,10.8896
383,11.48437144,36,167.925377,1,2,3.691,4.5,16.5968
384,8.705452886,48,31.7160998,1,0,3.69,4.2,1.056
385,8.705452886,48,91.08111011,1,0,3.689,4.2,1.056
386,8.705452886,24,24.83860332,1,0,3.691,3.7,7.5696
389,78.33173625,15,42.00077383,4,8,3.865,3,4.752
390,76.64522017,15,27.08833926,4,2,3.869,2,25.872
391,13.16005019,18,36.25453575,1,8,3.873,2,24.2
392,26.90953685,15,13.79261841,1,2,3.89,0,22.6064
393,26.90953685,30,22.0062449,1,2,3.894,0,5.336
394,26.79717089,15,302.058692,2,2,3.768,4,17.3628
395,27.37223363,15,69.65007723,1,2,3.757,4,5.2256
396,27.37223363,15,44.25786337,1,2,3.754,6,7.8384
397,5.127081907,24,86.38876535,4,2,3.869,3,7.194
398,5.118868355,48,55.50790473,2,2,3.869,3,4.5632
405,11.82660278,15,322.1247159,4,2,3.714,8,8.096
406,11.82660278,15,191.328608,4,2,3.716,9,35.616
408,19.27629478,60,97.08112021,2,0,3.793,13,7.6076
409,19.27629478,60,95.67003938,2,0,3.793,13,7.6076
410,18.66027835,15,31.04656829,1,2,3.794,3,13.5752
411,0.157882729,66,61.90761175,2,0,3.783,10,6.8376
412,30.40018252,15,129.6597676,3,2,3.729,6,5.8208
413,30.40018252,15,162.9681105,3,2,3.729,6,5.4128
414,14.50969655,66,101.6559249,2,2,3.77,20,24.4688
416,41.09434178,15,23.71008409,1,0,3.815,4,43.66
417,38.94775268,18,234.5359812,2,2,3.746,4,15.8928
418,35.01072325,42,182.3120488,4,2,3.737,13,8.6112
419,22.59742186,15,131.939898,4,0,3.733,5,6.2712
423,46.70134611,18,175.161515,4,2,3.739,3.5,5.6144
424,53.52407027,18,61.66195703,1,2,3.739,3,6.4496
425,20.53023044,30,46.13197755,2,2,3.731,7.5,23.504
426,11.1968971,15,143.095398,1,2,3.72,7,5.6
427,11.1968971,15,97.66739654,1,2,3.72,6.8,7.112
428,0.634268766,36,59.75191447,2,2,3.721,4,2.72
429,29.38170203,24,117.4897247,2,2,3.721,4,1.472
432,21.82523386,54,111.5475107,2,0,3.889,8.5,34.056
433,28.042893,54,141.2445497,2,0,3.894,7.1,29.016
434,28.042893,54,48.22996953,2,0,3.894,6.8,16.2564
435,12.042893,54,80.74558274,2,0,3.894,7.7,23.064
436,24.66164727,60,149.1951264,1,0,3.72,16,10.2592
437,119.7773215,36,29.39981041,1,3,3.72,3.5,10.5924
438,52.8315081,30,65.91227322,1,2,3.815,4,2.72
439,52.8315081,30,58.2295308,1,2,3.815,5,3.502
440,32.80401551,12,65.56242151,1,2,3.82,0,8.742
441,18.29614419,24,246.750953,2,2,3.719,2,14
442,18.25781428,24,246.750953,2,2,3.719,2,16.9952
443,18.29614419,24,25.48979774,2,2,3.719,2.3,14
444,18.25781428,24,25.48979774,2,2,3.719,2.3,16.9952
445,12.16062058,72,13.78521467,1,0,3.698,8,26.04
446,61.34884782,24,209.3700139,1,2,3.821,8,4.784
447,61.34884782,18,27.79094566,1,2,3.821,13.5,24.6512
448,61.34884782,18,115.151302,1,2,3.821,14.65,16.3184
449,65.77332877,18,106.0247814,1,2,3.82,8.5,6.0384
450,65.77332877,18,106.0247814,1,2,3.82,8.5,7.7792
452,10.40851015,18,23.23298417,2,2,3.877,6,12.656
453,13.90200776,15,137.6818828,2,2,3.873,6.3,14.336
454,65.90200776,12,39.78358027,1,2,3.878,11.2,7.0656
455,120.0457449,30,60.00528449,2,2,3.877,13.25,9.9728
456,120.0457449,30,60.00528449,2,2,3.877,13.25,15.176
457,120.0457449,30,208.1097496,2,2,3.877,3.5,5.6816
458,31.66792151,30,18.28324633,2,2,3.885,3.2,4.68
459,27.05179101,54,80.0653326,2,2,3.87,5,33.792
460,27.05179101,54,79.6234015,2,2,3.87,5,33.792
461,57.7103582,30,187.982239,1,2,3.706,4.2,18.7856
462,52.88067534,24,296.2457315,2,0,3.714,3.6,23.4
463,15.28998403,15,17.98679078,1,8,3.706,2,7.2416
464,15.28998403,15,7.326991328,1,8,3.706,2,7.2416
465,29.65548711,18,28.39922953,4,2,3.763,3,13.688
466,29.65548711,18,13.02493163,4,2,3.763,3,0
467,12.96554871,30,154.462088,1,2,3.856,4,4.5632
468,12.96554871,18,23.78759011,1,2,3.858,3,4.5632
469,21.00935432,48,107.1989122,1,2,3.72,8,14.2352
473,9.064111339,72,58.21938658,2,0,3.72,10.55,17.2224
474,70.15925165,15,23.68615419,2,0,3.69,3,2.0832
475,63.16951859,18,50.77905706,1,2,3.749,7.5,29.264
476,7.862194844,15,28.50962324,1,2,3.885,3.5,12.6654
477,7.862194844,24,78.12921101,1,2,3.885,3,15.5496
478,7.859456993,24,27.5098049,1,2,3.885,3,15.5496
479,7.859456993,18,105.9454247,1,2,3.885,3,15.5496
480,42.94501483,15,52.04868345,1,2,3.885,3,14.0866
481,46.94501483,18,208.586296,1,2,3.885,3.5,3.498
482,46.3893452,15,156.5003224,1,0,3.723,1.3,6.3616
483,58.63563769,60,200.3839051,2,0,3.728,6.3,4.0656
485,14.61921059,15,51.91926894,4,2,3.716,7.5,6.7712
486,14.61921059,15,79.32923845,4,2,3.716,7.5,6.7712
487,59.93075519,15,25.31168427,1,2,3.727,6,16.6208
488,59.93075519,15,42.93244671,1,2,3.727,7,14.0296
489,14.24150125,15,23.43468152,1,2,3.727,6,12.936
490,12.51106548,15,25.69634696,2,2,3.725,7,6.7712
491,58.20031942,15,110.4468301,2,2,3.725,7,6.7712
492,16.69723933,24,196.6897481,1,2,3.713,3.4,4.5632
493,16.52749258,24,417.2623429,1,2,3.715,6.2,5.6672
494,62.11556012,15,65.44954544,1,2,3.692,3.5,4.1216
496,64.34143281,18,286.6315389,1,2,3.805,4,12.8576
497,64.34143281,18,286.6315389,1,2,3.805,4,16.6208
498,120.6780744,30,159.9862294,4,2,3.795,2.7,4.429
499,17.8005932,30,108.3465205,1,2,3.793,11,13.2912
500,17.87725302,15,43.50327863,2,2,3.805,5,4.76
501,39.63769108,15,74.5488786,1,3,3.802,5,36.7
507,17.4501483,54,28.7648077,1,0,3.803,6.05,3.0912
510,17.29409081,24,71.83716821,1,0,3.803,5,15.8184
512,61.20374173,15,142.3984016,1,2,3.866,3,20.4624
516,14.82466347,60,18.88607479,2,0,3.892,7.5,5.208
517,21.82534794,60,36.03435954,2,0,3.889,8.5,30.888
518,21.82534794,60,19.50761323,2,0,3.889,8,29.016
519,12.042893,54,27.07209716,2,0,3.894,7.4,23.064
520,23.34759297,24,51.31755486,1,2,3.726,8,13.688
521,23.34759297,24,190.760077,1,2,3.726,8,13.688
522,65.47478896,36,55.15554187,1,2,3.719,8,7.0864
523,8.198950491,30,166.8584376,2,2,3.716,7,8.3312
524,27.2023728,24,61.06689093,1,2,3.904,5.5,14.77
525,56.30846452,15,154.7501194,1,2,3.915,7,12.67
526,70.85751768,24,40.15344724,4,3,3.857,11.08,7.656
527,12.71640429,18,72.69676028,1,2,3.854,5,1.904
528,54.60552133,54,57.67598092,2,3,3.864,7.95,28.32
529,54.60552133,54,25.91259291,2,3,3.864,10.35,32.2704
530,15.42140087,54,96.67503437,2,3,3.864,11.8,26.325
531,15.42140087,48,23.21957174,2,3,3.866,10,26.532
532,48.2153776,66,90.55253361,2,8,3.802,6.45,8.9936
533,48.2153776,66,25.53826632,1,0,3.805,7.1,3.0912
534,48.2153776,60,56.6341149,1,0,3.805,7.15,2.5872
535,57.13803331,60,18.19999997,1,0,3.805,6.95,9.9912
536,54.56992927,15,24.14101565,1,2,3.807,4,1.904
537,54.56992927,15,92.32421172,1,2,3.807,4,7.8416
538,54.81633584,15,186.0847185,1,2,3.807,4.5,18.5024
539,120.335843,30,55.89063113,1,2,3.815,3.75,16.64
540,120.335843,48,24.75544466,1,2,3.811,3.75,21.2432
541,32.95744924,24,431.6303729,1,2,3.783,2.5,9.9056
