Asset Type,Inspection Date,Depth,Cons Location Score,Flood Design Score,INV DATE,PACP Shape,PACP Height,PACP Mater,CONST DATE,Length,Encoded Hydro Group,Precipitation,Risk
structure,43943.67,6,8,2,40613,C,15,RCP,28856,301.4050335,2,3.894,14.98
structure,43943.67,6,6,2,42954,C,24,PE,37257,17.4527189,4,3.756,12.67
pipe,43943.67,8.5,8,0,36028,C,60,RCP,35970,101.4416215,4,3.769,6.8376
structure,44532.71,8.6,0,2,37859,C,24,RCP,33419,229.826992,1,3.77,13.2912
channel,44420.67,5,0,2,40613,C,18,RCP,28856,168.3067909,2,3.894,16.1216
channel,44350.67,5,0,2,44130,C,15,RCP,34335,40.5516796,1,3.754,14.0672
channel,44169.71,4,0,2,42864,C,15,RCP,29701,60.68431771,2,3.699,18.0992
pipe,44410.67,4,0,2,41703,C,30,RCP,23767,9.492341465,2,3.87,17.888
pipe,44210.71,20,0,2,42950,C,36,CMP,36161,117.2596943,4,3.754,5.9024
pipe,44497.71,7,6,8,41709,C,60,RCP,32653,67.63830517,2,3.888,38.192
pipe,44410.67,4,0,2,41703,C,30,RCP,23767,32.91391799,2,3.87,2.72
pipe,44410.67,4,0,2,41703,C,30,RCP,23767,32.91391799,2,3.87,14.8256
pipe,43700.67,3.6,8,0,41978,C,15,RCP,28671,29.30852777,1,3.88,19.116
channel,44399.67,4.5,0,2,43613,C,15,RCP,37802,140.2318838,1,3.697,31.1168
pipe,44092.67,4.1,0,2,34339,C,24,RCP,30682,152.7850167,2,3.92,14.924
pipe,44018.67,2,6,0,41975,C,15,RCP,29794,123.1536555,2,3.873,18.3456
pipe,43950.67,9.5,0,2,42888,C,30,RCP,22068,266.0740398,4,3.745,24.8784
pipe,43132.67,13.7,8,0,37035,C,54,RCP,36168,97.21551531,2,3.719,11.0656
pipe,43608.67,11.9,10,0,43775,C,48,RCP,35971,117.1224865,2,3.72,31.248
pipe,43766.67,3,0,8,41401,C,36,CMP,23434,204.6437055,1,3.858,32.756
pipe,44011.67,1.3,0,2,35669,C,15,RCP,34700,51.20979606,4,3.901,9.145
structure,44111.67,6.7,0,2,37154,C,84,CMP,36892,11.97130831,3,3.705,14.4272
pipe,43893.67,17,8,0,36168,C,108,CMP,31958,93.08497466,4,3.9,43.344
pipe,44491.67,7,0,2,43907,C,18,RCP,31549,447.0503683,1,3.733,25.3328
structure,43965.67,2.6,0,2,43972,C,18,RCP,22068,60.95069508,1,3.751,0
pipe,43852.71,5,0,2,43838,C,48,RCP,34270,74.35125997,1,3.72,16.6242
pipe,43717.67,3.5,0,2,41968,C,24,CMP,24473,144.3166328,1,3.844,1.088
pipe,44453.67,7.4,0,2,44427,C,15,RCP,37209,23.81158573,4,3.82,10.8896
structure,44491.67,6.4,0,2,43907,C,24,RCP,31549,39.23858576,1,3.733,29.432
structure,43810.67,8.49,8,2,35699,C,30,RCP,33604,96.62432383,4,3.719,8.1696
structure,43810.67,5.9,6,2,43920,C,15,RCP,23743,23.28005657,1,3.729,6.7712
pipe,44491.67,7.25,0,2,35157,C,36,RCP,35157,171.9506127,1,3.733,19.1984
pipe,43810.67,9.09,8,0,43069,C,54,CMP,37437,41.89448184,1,3.805,30.6
structure,44482.67,5,0,2,43726,C,15,RCP,32689,53.92646726,4,3.722,14.168
structure,44482.67,3.6,0,2,43839,C,48,RCP,36161,86.02846693,1,3.719,14.168
pipe,43810.67,8,0,2,41680,C,54,CMP,37437,79.95978511,1,3.805,18.584
pipe,43810.67,8.05,0,2,41687,C,54,CMP,37437,53.23939568,1,3.803,20.424
pipe,43810.67,9.44,8,3,43069,C,54,CMP,37437,145.9836079,1,3.804,28.5768
pipe,43888.67,2.3,6,3,37693,C,18,RCP,35611,172.1108525,2,3.703,14.3748
pipe,43713.71,3.6,0,3,37553,C,18,RCP,37182,25.43012753,1,3.74,12.2304
structure,43766.67,3.1,10,8,35340,C,15,RCP,35065,21.59909345,1,3.902,10.88
structure,44491.67,7.2,0,2,37771,C,15,RCP,37257,89.36976856,3,3.705,3.536
structure,44491.67,6.4,0,2,37853,C,15,RCP,35611,49.81236796,3,3.707,3.536
pipe,44383.67,5,0,2,42089,C,18,RCP,33239,200.1072554,2,3.826,17.576
structure,43700.67,3.1,8,2,43795,C,15,RCP,36892,167.8487881,2,3.722,5.2256
structure,44383.67,11,0,2,38111,C,36,RCP,36525,107.955141,2,3.755,20.8608
structure,44383.67,12,0,2,37861,C,15,RCP,36952,80.15311531,4,3.757,18.4992
pipe,44384.67,7.5,0,2,43641,C,42,RCP,27210,72.5542017,4,3.721,23.504
channel,43859.71,1,3,8,38111,C,30,RCP,36525,62.91356038,2,3.756,6.1304
pipe,44327.67,2.5,6,2,34120,C,12,RCP,21916,24.02323485,1,3.763,6.8448
pipe,44182.71,8,6,2,38111,C,15,RCP,36525,41.66410434,1,3.756,19.5708
pipe,43662.17,3,8,8,44057,C,24,RCP,28671,41.88420322,1,3.731,9.6768
pipe,44104.67,3.5,6,8,43315,C,24,PE,18629,24.02512388,1,3.746,8.432
pipe,43969.67,6.9,6,0,42171,C,60,RCP,35796,118.9883408,2,3.877,13.6344
structure,44459.67,8.5,0,2,41687,C,12,RCP,21916,47.55948238,4,3.732,12.096
pipe,43935.67,8.5,0,2,43992,C,15,RCP,34183,122.2634229,2,3.734,11.388
pipe,44342.67,5,0,2,38049,C,15,RCP,37077,200.7854517,3,3.864,11.0864
pipe,44256.67,5,0,2,38049,C,15,RCP,37077,200.7854517,3,3.864,20.384
pipe,43935.67,7.5,0,2,43992,C,15,RCP,35608,64.01846453,2,3.734,14.7392
pipe,36930.67,8.75,8,0,43503,C,84,CMP,32400,17.7714239,2,3.826,8.4672
pipe,43139.67,8.85,8,0,43503,C,84,CMP,32400,49.56700874,2,3.826,25.272
structure,44383.67,5,0,2,42692,C,15,RCP,35065,50.23909294,1,3.802,22.6064
structure,44383.67,5,0,2,43327,C,30,RCP,30682,144.9874309,1,3.792,3.68
structure,44179.71,4.5,0,2,33939,C,36,CMP,30317,51.16357456,1,3.731,3.68
pipe,43705.67,3,0,8,44057,C,15,RCP,28671,32.32797275,1,3.731,18.7252
structure,43868.67,1.4,0,2,44070,C,15,RCP,36434,55.20198398,1,3.732,3.036
pipe,44028.67,9,8,0,39119,C,60,RCP,39119,96.48451995,2,3.696,27.4224
pipe,43923.67,4.5,0,2,38650,C,36,PE,38650,74.11239121,1,3.694,5.5568
structure,44148.71,3.5,6,8,38539,C,15,PE,35698,22.07122353,2,3.77,10.472
pipe,43762.67,5,6,3,33914,C,18,RCP,32007,138.6337511,1,3.73,14.8512
pipe,43923.67,4.5,0,2,38650,C,36,PE,38650,43.85147619,1,3.694,5.5568
pipe,43412.67,9.3,6,0,43307,C,54,CMP,30690,220.1596364,1,3.792,26.928
structure,43950.67,9,0,2,39273,C,48,RCP,39203,252.3839014,4,3.783,24.816
structure,43826.71,12,0,2,43572,C,24,RCP,36622,68.78041031,1,3.781,5.52
pipe,43789.71,2,10,0,42282,C,15,RCP,29402,14.46703012,2,3.76,10.3936
pipe,44166.71,2,0,0,42282,C,15,RCP,29402,14.46703012,2,3.76,10.8192
channel,44452.67,1,8,8,43479,C,48,RCP,37449,215.2170686,2,3.771,15.6864
pipe,44383.67,12,0,2,43327,C,42,RCP,29701,175.2596247,1,3.794,13.8768
pipe,43923.67,4.5,0,2,38650,C,36,PE,38650,57.73992358,1,3.694,11.0192
pipe,44482.67,5.5,0,2,44004,C,15,RCP,29402,37.37672273,4,3.734,14.6288
pipe,44482.67,5,0,2,44004,C,15,RCP,29402,51.61043139,4,3.734,14.6288
pipe,43923.67,4.5,0,2,38650,C,30,PE,38650,8.502774479,1,3.694,8.2064
pipe,43789.71,2,10,0,42282,C,15,RCP,29402,40.1084156,2,3.76,9.184
pipe,43789.71,2,0,2,42282,C,15,RCP,29402,40.1084156,2,3.76,10.3472
pipe,44176.71,2,0,0,42282,C,15,RCP,29402,40.1084156,2,3.76,14.3592
pipe,43682.71,8,0,0,33850,C,30,RCP,31778,149.2976667,1,3.733,9.0792
structure,43766.67,2.6,10,8,38456,C,30,RCP,20637,29.26903104,4,3.768,10.88
structure,43766.67,2,10,8,43202,C,15,RCP,19725,295.0008454,1,3.798,10.88
pipe,42948.67,8.5,8,0,43158,O,60,CMP,29717,26.58567429,2,3.789,40.824
structure,43817.71,5.2,0,2,39107,C,24,RCP,39107,80.20203319,4,3.702,19.2512
structure,43817.71,5.5,0,2,42766,C,15,RCP,30317,101.6922064,1,3.73,26.0144
structure,43817.71,5.5,0,2,39072,C,48,RCP,41303,290.1352854,2,3.904,6.44
structure,44340.67,4.2,0,0,42411,C,24,RCP,32509,72.93515092,1,3.689,1.056
pipe,43983.67,10,8,3,43153,O,85,CMP,29402,69.28198269,2,3.79,39.366
pipe,44155.71,0,6,8,44326,C,15,RCP,37041,196.5277524,3,3.704,7.2416
pipe,44257.71,3,0,2,39374,C,18,RCP,39374,21.8996674,1,3.814,13.4524
pipe,43880.71,7.5,0,2,39223,C,24,RCP,22647,58.14428494,1,3.753,21.7952
pipe,44427.67,5,0,0,42752,C,24,RCP,24782,347.3008334,1,3.74,12.3504
pipe,44335.67,8,6,8,38418,C,36,RCP,38418,58.77026587,1,3.689,8.9936
pipe,44265.67,13,10,2,39099,C,36,RCP,39094,67.15861109,1,3.704,26.0336
structure,44175.71,0,0,0,44148,C,30,RCP,34150,21.88644908,3,3.749,1.056
structure,43789.71,0,10,0,44148,C,30,RCP,34150,21.88644908,3,3.749,12.784
pipe,43965.67,2.7,0,2,44144,C,18,RCP,36405,161.9918832,3,3.749,0
structure,44026.67,4,6,2,44158,C,15,RCP,39463,38.1390218,3,3.744,4.5632
pipe,44064.67,4.5,0,2,42474,C,15,RCP,37390,47.1291025,2,3.859,10.8896
