,Algorithm,Model,Dataset,AUC Score,Weighted F1 Score,Train Test Split,Scenario
,SVC,Trimmed Data Optimized,Test,0.5,0.686376,70/30,SMOTE on Training
,DT,Trimmed Data Optimized,Training,0.980519,0.916298,70/30,SMOTE on Training
,DT,Trimmed Data Optimized,Test,0.620137,0.678955,70/30,SMOTE on Training
,LR,Full Data Optimized,Training,0.72702,0.650068,80/20,SMOTE on Training
,LR,Full Data Optimized,Test,0.665958,0.599351,80/20,SMOTE on Training
,RFC,Full Data Optimized,Training,0.944917,0.881917,80/20,SMOTE on Training
,RFC,Full Data Optimized,Test,0.760079,0.756182,80/20,SMOTE on Training
,SVC,Full Data Optimized,Training,0.933424,0.865694,80/20,SMOTE on Training
,SVC,Full Data Optimized,Test,0.736211,0.725808,80/20,SMOTE on Training
,DT,Full Data Optimized,Training,0.991771,0.944616,80/20,SMOTE on Training
,DT,Full Data Optimized,Test,0.62432,0.663172,80/20,SMOTE on Training
,LR,Trimmed Data Optimized,Training,0.735824,0.642237,80/20,SMOTE on Training
,LR,Trimmed Data Optimized,Test,0.686899,0.616988,80/20,SMOTE on Training
,RFC,Trimmed Data Optimized,Training,0.993935,0.969202,80/20,SMOTE on Training
,RFC,Trimmed Data Optimized,Test,0.770645,0.814543,80/20,SMOTE on Training
,SVC,Trimmed Data Optimized,Training,0.998307,0.992697,80/20,SMOTE on Training
,SVC,Trimmed Data Optimized,Test,0.699889,0.734147,80/20,SMOTE on Training
,DT,Trimmed Data Optimized,Training,0.992931,0.949546,80/20,SMOTE on Training
,DT,Trimmed Data Optimized,Test,0.635094,0.706162,80/20,SMOTE on Training
,LR,Full Data Optimized,Training,0.729433,0.660357,90/10,SMOTE on Training
,LR,Full Data Optimized,Test,0.658628,0.609642,90/10,SMOTE on Training
,RFC,Full Data Optimized,Training,0.999945,0.998173,90/10,SMOTE on Training
,RFC,Full Data Optimized,Test,0.785539,0.736899,90/10,SMOTE on Training
,SVC,Full Data Optimized,Training,0.997858,0.994555,90/10,SMOTE on Training
,SVC,Full Data Optimized,Test,0.723224,0.707409,90/10,SMOTE on Training
,DT,Full Data Optimized,Training,0.994949,0.957673,90/10,SMOTE on Training
,DT,Full Data Optimized,Test,0.680877,0.675751,90/10,SMOTE on Training
,LR,Trimmed Data Optimized,Training,0.728254,0.632424,90/10,SMOTE on Training
,LR,Trimmed Data Optimized,Test,0.674774,0.607685,90/10,SMOTE on Training
,RFC,Trimmed Data Optimized,Training,0.996594,0.975477,90/10,SMOTE on Training
,RFC,Trimmed Data Optimized,Test,0.765073,0.779402,90/10,SMOTE on Training
,SVC,Trimmed Data Optimized,Training,0.999833,0.998133,90/10,SMOTE on Training
,SVC,Trimmed Data Optimized,Test,0.752069,0.757531,90/10,SMOTE on Training
,DT,Trimmed Data Optimized,Training,0.985209,0.933326,90/10,SMOTE on Training
,DT,Trimmed Data Optimized,Test,0.692439,0.707328,90/10,SMOTE on Training
